"","model_1_f1","model_1_f2","model_1_f3","model_1_f4"
"185",0.85941059426589,0.823825773695923,0.637912438053126,0.87014371721264
"186",0.859038187991874,0.824404264744229,0.631587818966051,0.871926162069672
"187",0.864870273334486,0.830914479789882,0.649405297721355,0.866483402257829
"188",0.871770067749974,0.822946230666141,0.680449696764388,0.866283415244408
"189",0.87184778720058,0.841018116716505,0.679307248574773,0.869401108981882
"190",0.866051522272317,0.841047000861403,0.678468779349107,0.867506779033398
"191",0.87757209468002,0.837867933935914,0.681371693924291,0.870807917141392
"192",0.87798642596278,0.827377094408329,0.657998475768006,0.850690898372575
"193",0.87725469662892,0.825295979435577,0.673833075756466,0.839137603874146
"194",0.879676136024625,0.839971807757226,0.690840821636277,0.851450132486266
"195",0.872114306263216,0.83795453398517,0.65375818424193,0.856571036121525
"196",0.870076576000756,0.829843633328713,0.641397803876008,0.861387996330312
"197",0.865166742651377,0.826015478356278,0.657639375056336,0.851059464399582
"198",0.869533528444088,0.831529128630311,0.691730239632139,0.861907364073337
"199",0.869245817768127,0.832415731673964,0.663331811540704,0.867059601802784
"200",0.870944565916448,0.821136302862407,0.696683653853934,0.865115929579576
"201",0.867871183484169,0.835303584074614,0.680614184788027,0.870935423956418
"202",0.867252766671345,0.838817364748182,0.64867258493268,0.861792024043186
"203",0.867679257988622,0.829830810247704,0.613437124903859,0.874553377250281
"204",0.869801088065887,0.831451779805422,0.634208071839256,0.879958447889968
"205",0.862908446726371,0.818890914862466,0.636391857078783,0.877182425109217
"206",0.863256792779665,0.826542274082464,0.621534111667076,0.869790451618495
"207",0.863218899172068,0.834957655525409,0.59407914425365,0.86846983192275
"208",0.856336237653822,0.832458815916391,0.587226521727517,0.870214360375993
"209",0.845103730704346,0.83779795973833,0.607115084666553,0.874197891274311
"210",0.857882319423082,0.825201990701292,0.635873274762759,0.877714012655623
"211",0.862033879259498,0.824802400265677,0.683684810117522,0.870349264117763
"212",0.865509502551354,0.818720229961668,0.63335346713681,0.871231560619292
"213",0.861123050799252,0.81573683238324,0.654412546185164,0.869119032830231
